ticker,source,registrantName,seriesName,className,expenseRatio,fiscalYearEnd,category,totalNetAssets,investorType,minimumInitialInvestment,wam,wal,reportDate,yield,yieldDate,usTreasuryDebt,usGovernmentAgencyDebt,usGovernmentAgencyCouponDebt,usGovernmentAgencyZeroCouponDebt,nonUSSovereignDebt,certificateofDeposit,nonNegotiableTimeDeposit,variableRateDemandNote,otherMunicipalSecurity,assetBackedCommercialPaper,otherAssetBackedSecurities,usTreasuryRepurchaseAgreement,usGovernmentAgencyRepurchaseAgreement,otherRepurchaseAgreement,insuranceCompanyFundingAgreement,financialCompanyCommercialPaper,nonFinancialCompanyCommercialPaper,tenderOptionBond,otherInstrument,USGO,Muni
"BUCXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Treasury Trust Fund","Capital Shares",0,"1031","Government",689223983.04,"Institutional",50000,51,91,"2024-05-31",0.0515,"2024-05-31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BUCXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Treasury Trust Fund","Capital Shares",0,"1031","Government",619320237.11,"Institutional",50000,49,87,"2024-03-31",0.0514,"2024-03-31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BUCXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Treasury Trust Fund","Capital Shares",0,"1031","Government",567386001.94,"Institutional",50000,49,91,"2024-02-29",0.0515,"2024-02-29",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BUCXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Treasury Trust Fund","Capital Shares",0,"1031","Government",569378740.91,"Institutional",50000,43,77,"2023-12-31",0.052,"2023-12-31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BUCXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Treasury Trust Fund","Capital Shares",0,"1031","Government",546737866.97,"Institutional",50000,42,82,"2023-11-30",0.0522,"2023-11-30",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BUCXX","parse-MFP-files.sh","Blackrock Liquidity Funds","Treasury Trust Fund","Capital Shares",0,"1031","Government",498575446.87,"Institutional",50000,45,88,"2023-10-31",0.0523,"2023-10-31",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
